Applicant,LocationDescription,Address,Photo,FoodItems,Latitude,Longitude,Schedule,Location
Subs on Hubs,05TH ST: HARRISON ST \ I-80 W OFF RAMP to PERRY ST (400 - 449),400 05TH ST,,Italian subs: Cuban sandwich: Gyro,37.77871039,-122.4018394,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0059&ExportPDF=1&Filename=18MFF-0059_schedule.pdf,"(37.77871039190089, -122.4018393503297)"
John's Catering #5,MARKET ST: 12TH ST \ PAGE ST to FRANKLIN ST (1591 - 1615) -- SOUTH --,1601 MARKET ST,,Cold Truck: Soda:Chips:Candy: Cold/Hot Sandwiches: Donuts.  (Pitco Wholesale),37.77391507,-122.4200263,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0045&ExportPDF=1&Filename=18MFF-0045_schedule.pdf,"(37.773915065679844, -122.42002629150363)"
"SOHOMEI, LLC",EDDY ST: STEINER ST to PIERCE ST (1600 - 1699),1652 EDDY ST,,COLD TRUCK. Deli: bbq chicken skewer: Chinese spring roll: Chinese fried rice/noodle: fried chicken leg/wing: bbq chicken sandwich: chicken cheese burger: burrito: lumpia. Snack: sunflower seeds: muffins: chips: snickers: kit-kat: 10 types of chocolate. Drinks: Coke: 7-Up: Dr. Pepper: Pepsi: Redbull: Vitamin Water: Rockstar: Coconut Juice: Water. Hot drinks: coffee: tea.,37.78159675,-122.4348578,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0028&ExportPDF=1&Filename=18MFF-0028_schedule.pdf,"(37.78159674576022, -122.43485778844028)"
John's Catering #5,14TH ST: SHOTWELL ST to SOUTH VAN NESS AVE (139 - 199),164 14TH ST,,Cold Truck: Soda:Chips:Candy: Cold/Hot Sandwiches: Donuts.  (Pitco Wholesale),37.76876525,-122.4169022,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0045&ExportPDF=1&Filename=18MFF-0045_schedule.pdf,"(37.76876525095856, -122.41690220595329)"
Munch A Bunch,MISSION ST: 14TH ST to 15TH ST (1800 - 1899),1850 MISSION ST,,Cold Truck: packaged sandwiches: pitas: breakfast: cold and hot drinks: snacks,37.76734767,-122.4204766,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=17MFF-0197&ExportPDF=1&Filename=17MFF-0197_schedule.pdf,"(37.767347670704055, -122.42047663908131)"
El Tonayanse #4 / #36,HARRISON ST: 13TH ST to 14TH ST (1700 - 1799),1717 HARRISON ST,,Tacos: Burritos: Tortas: Quesadillas,0,0,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0005&ExportPDF=1&Filename=18MFF-0005_schedule.pdf,"(0.0, 0.0)"
Singh Brothers Ice Cream,KEY AVE: JENNINGS ST to 03RD ST (1000 - 1068),1060 KEY AVE,,Ice Cream: Pre-Packaged Chips: Candies: Bottled Water & Canned SODA,37.71920022,-122.3959767,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=17MFF-0182&ExportPDF=1&Filename=17MFF-0182_schedule.pdf,"(37.71920021771331, -122.39597673109593)"
"SOHOMEI, LLC",TREAT AVE: DIVISION ST \ FLORIDA ST to ALAMEDA ST (1 - 99),Assessors Block 3902/Lot002,,COLD TRUCK. Deli: bbq chicken skewer: Chinese spring roll: Chinese fried rice/noodle: fried chicken leg/wing: bbq chicken sandwich: chicken cheese burger: burrito: lumpia. Snack: sunflower seeds: muffins: chips: snickers: kit-kat: 10 types of chocolate. Drinks: Coke: 7-Up: Dr. Pepper: Pepsi: Redbull: Vitamin Water: Rockstar: Coconut Juice: Water. Hot drinks: coffee: tea.,37.76830699,-122.4120003,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0028&ExportPDF=1&Filename=18MFF-0028_schedule.pdf,"(37.76830699279999, -122.41200033609215)"
Brazuca Grill,MINNESOTA ST: MINNESOTA ST to 26TH ST (1400 - 1499),1400 MINNESOTA ST,,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages,37.75207459,-122.3901449,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00154&ExportPDF=1&Filename=21MFF-00154_schedule.pdf,"(37.75207458620838, -122.39014490082212)"
Wu Wei LLC dba MoBowl,FRONT ST: VALLEJO ST to GREEN ST (900 - 999),900 FRONT ST,,Various types of meat: veggie: and seafood bowls.,37.80022092,-122.399569,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00076&ExportPDF=1&Filename=21MFF-00076_schedule.pdf,"(37.80022091559222, -122.39956901857713)"
